user_id,event_date,event_type,purchase_amount
c40e6a,2019-07-29 00:02:15,registration,
a2b682,2019-07-29 00:04:46,registration,
9ac888,2019-07-29 00:13:22,registration,
93ff22,2019-07-29 00:16:47,registration,
65ef85,2019-07-29 00:19:23,registration,
90852e,2019-07-29 00:21:16,registration,
357151,2019-07-29 00:25:53,registration,
71ac11,2019-07-29 00:28:51,registration,
af679d,2019-07-29 00:30:46,registration,
a48f29,2019-07-29 00:41:54,registration,
b65930,2019-07-29 00:47:22,registration,
956ad6,2019-07-29 00:54:13,registration,
8aa5b4,2019-07-29 00:58:22,registration,
5fb555,2019-07-29 01:07:24,registration,
37fa41,2019-07-29 01:10:32,registration,
b5787e,2019-07-29 01:11:22,registration,
b2e16e,2019-07-29 01:14:16,registration,
ca3c58,2019-07-29 01:18:51,registration,
bea18b,2019-07-29 01:41:59,registration,
48cac1,2019-07-29 01:42:46,registration,
5290a3,2019-07-29 01:54:56,registration,
85367a,2019-07-29 01:55:28,registration,
e99455,2019-07-29 01:56:47,registration,
b5808c,2019-07-29 02:15:02,registration,
af679d,2019-07-29 02:25:19,simple_event,
ffc88b,2019-07-29 02:27:49,registration,
e2308c,2019-07-29 02:32:54,registration,
f1c95f,2019-07-29 02:35:11,registration,
a7673f,2019-07-29 02:40:52,registration,
082c52,2019-07-29 02:45:55,registration,
8dd8e2,2019-07-29 02:45:56,registration,
ce4c1b,2019-07-29 02:57:23,registration,
2dc5a0,2019-07-29 02:59:56,registration,
0563b3,2019-07-29 03:00:38,registration,
69b65c,2019-07-29 03:02:57,registration,
9b887b,2019-07-29 03:14:53,registration,
cb1a68,2019-07-29 03:29:42,registration,
e22cda,2019-07-29 03:39:58,registration,
b76736,2019-07-29 03:47:03,registration,
eec7c2,2019-07-29 03:50:29,registration,
b94f18,2019-07-29 03:54:55,registration,
b70e53,2019-07-29 03:55:16,registration,
2c8868,2019-07-29 04:02:15,registration,
76a0a7,2019-07-29 04:05:20,registration,
1139f6,2019-07-29 04:10:24,registration,
b617db,2019-07-29 04:10:26,registration,
21d4b9,2019-07-29 04:17:16,registration,
222935,2019-07-29 04:18:15,registration,
b6beec,2019-07-29 04:26:37,registration,
55ebd7,2019-07-29 04:29:21,registration,
bdb9b7,2019-07-29 04:33:47,registration,
9841a5,2019-07-29 04:52:35,registration,
3e7892,2019-07-29 04:53:52,registration,
314c10,2019-07-29 04:57:20,registration,
2da883,2019-07-29 04:59:53,registration,
0df179,2019-07-29 05:00:34,registration,
17658d,2019-07-29 05:05:38,registration,
569dc4,2019-07-29 05:13:15,registration,
8e82cc,2019-07-29 05:18:00,registration,
a0ae1c,2019-07-29 05:19:54,registration,
b351a8,2019-07-29 05:29:20,registration,
852734,2019-07-29 05:29:51,registration,
e5d636,2019-07-29 05:36:27,registration,
346c95,2019-07-29 05:39:13,registration,
ef8eb8,2019-07-29 05:40:34,registration,
d39e52,2019-07-29 05:41:03,registration,
bdf28d,2019-07-29 05:47:42,registration,
2a91ab,2019-07-29 05:50:53,registration,
f90ad9,2019-07-29 05:55:26,registration,
4ca657,2019-07-29 05:57:35,registration,
075faa,2019-07-29 06:04:47,registration,
038528,2019-07-29 06:08:59,registration,
e1a151,2019-07-29 06:17:52,registration,
71ac11,2019-07-29 06:19:19,simple_event,
bfb6e0,2019-07-29 06:25:55,registration,
22e9ec,2019-07-29 06:27:33,registration,
132883,2019-07-29 06:33:10,registration,
5165fd,2019-07-29 06:36:13,registration,
85367a,2019-07-29 06:37:26,simple_event,
9b887b,2019-07-29 06:39:29,simple_event,
b2e16e,2019-07-29 06:51:51,simple_event,
436325,2019-07-29 06:53:47,registration,
8de640,2019-07-29 07:02:13,registration,
d5c0b9,2019-07-29 07:08:54,registration,
0f6aed,2019-07-29 07:09:04,registration,
d75843,2019-07-29 07:09:49,registration,
306906,2019-07-29 07:10:53,registration,
de70c7,2019-07-29 07:11:52,registration,
a05573,2019-07-29 07:15:58,registration,
d30adc,2019-07-29 07:16:11,registration,
51dc02,2019-07-29 07:16:36,registration,
829ede,2019-07-29 07:18:28,registration,
546888,2019-07-29 07:25:18,registration,
bc6c3b,2019-07-29 07:25:24,registration,
d52f25,2019-07-29 07:34:39,registration,
ce9f31,2019-07-29 07:35:59,registration,
0f870f,2019-07-29 07:48:39,registration,
4c7580,2019-07-29 07:52:53,registration,
8f7b50,2019-07-29 07:59:26,registration,
22a6ac,2019-07-29 07:59:41,registration,
e19830,2019-07-29 08:09:17,registration,
32dbb7,2019-07-29 08:10:03,registration,
afa9cb,2019-07-29 08:10:07,registration,
87f678,2019-07-29 08:11:33,registration,
f4b42e,2019-07-29 08:17:57,registration,
8d6704,2019-07-29 08:21:02,registration,
8c4976,2019-07-29 08:25:49,registration,
0833ac,2019-07-29 08:25:59,registration,
